,train_loss,val_loss,lr,mask_val_loss,regr_val_loss
0,992.8568,-1.0,0.001,-1.0,-1.0
1,944.84924,-1.0,0.001,-1.0,-1.0
2,835.83887,-1.0,0.001,-1.0,-1.0
3,629.66595,-1.0,0.001,-1.0,-1.0
4,500.02536,-1.0,0.001,-1.0,-1.0
5,403.5431,-1.0,0.001,-1.0,-1.0
6,341.92206,-1.0,0.001,-1.0,-1.0
7,288.93082,-1.0,0.001,-1.0,-1.0
8,231.8727,-1.0,0.001,-1.0,-1.0
9,216.5271,-1.0,0.001,-1.0,-1.0
10,193.14795,-1.0,0.001,-1.0,-1.0
11,164.84155,-1.0,0.001,-1.0,-1.0
12,161.63753,-1.0,0.001,-1.0,-1.0
13,144.41725,-1.0,0.001,-1.0,-1.0
14,139.51843,-1.0,0.001,-1.0,-1.0
15,125.02673,-1.0,0.001,-1.0,-1.0
16,112.43204,-1.0,0.001,-1.0,-1.0
17,105.68765,-1.0,0.001,-1.0,-1.0
18,98.25924,-1.0,0.001,-1.0,-1.0
19,96.41372,-1.0,0.001,-1.0,-1.0
20,85.84028,-1.0,0.001,-1.0,-1.0
21,78.85822,-1.0,0.001,-1.0,-1.0
22,70.44148,-1.0,0.001,-1.0,-1.0
23,73.16573,-1.0,0.001,-1.0,-1.0
24,62.83206,-1.0,0.001,-1.0,-1.0
25,60.387234,-1.0,0.001,-1.0,-1.0
26,58.4661,-1.0,0.001,-1.0,-1.0
27,55.615013,-1.0,0.001,-1.0,-1.0
28,53.057556,-1.0,0.001,-1.0,-1.0
29,51.52116,-1.0,0.001,-1.0,-1.0
30,48.91673,-1.0,0.001,-1.0,-1.0
31,43.98892,-1.0,0.001,-1.0,-1.0
32,43.93626,-1.0,0.001,-1.0,-1.0
33,40.45554,-1.0,0.001,-1.0,-1.0
34,39.005,-1.0,0.001,-1.0,-1.0
35,40.258995,-1.0,0.001,-1.0,-1.0
36,36.546234,-1.0,0.001,-1.0,-1.0
37,40.554134,-1.0,0.001,-1.0,-1.0
38,35.2778,-1.0,0.001,-1.0,-1.0
39,33.258495,-1.0,0.001,-1.0,-1.0
40,35.085075,-1.0,0.001,-1.0,-1.0
41,33.26311,-1.0,0.001,-1.0,-1.0
42,33.134945,-1.0,0.001,-1.0,-1.0
43,31.149221,-1.0,0.001,-1.0,-1.0
44,30.322979,-1.0,0.001,-1.0,-1.0
45,39.371082,-1.0,0.001,-1.0,-1.0
46,32.42619,-1.0,0.001,-1.0,-1.0
47,28.729578,-1.0,0.001,-1.0,-1.0
48,31.467701,-1.0,0.001,-1.0,-1.0
