train_loss,val_loss,lr,mask_val_loss,regr_val_loss
992.8568,-1.0,0.001,-1.0,-1.0
944.84924,-1.0,0.001,-1.0,-1.0
835.83887,-1.0,0.001,-1.0,-1.0
629.66595,-1.0,0.001,-1.0,-1.0
500.02536,-1.0,0.001,-1.0,-1.0
403.5431,-1.0,0.001,-1.0,-1.0
341.92206,-1.0,0.001,-1.0,-1.0
288.93082,-1.0,0.001,-1.0,-1.0
231.8727,-1.0,0.001,-1.0,-1.0
216.5271,-1.0,0.001,-1.0,-1.0
193.14795,-1.0,0.001,-1.0,-1.0
164.84155,-1.0,0.001,-1.0,-1.0
161.63753,-1.0,0.001,-1.0,-1.0
144.41725,-1.0,0.001,-1.0,-1.0
139.51843,-1.0,0.001,-1.0,-1.0
125.02673,-1.0,0.001,-1.0,-1.0
112.43204,-1.0,0.001,-1.0,-1.0
105.68765,-1.0,0.001,-1.0,-1.0
98.25924,-1.0,0.001,-1.0,-1.0
96.41372,-1.0,0.001,-1.0,-1.0
85.84028,-1.0,0.001,-1.0,-1.0
78.85822,-1.0,0.001,-1.0,-1.0
70.44148,-1.0,0.001,-1.0,-1.0
73.16573,-1.0,0.001,-1.0,-1.0
62.83206,-1.0,0.001,-1.0,-1.0
60.387234,-1.0,0.001,-1.0,-1.0
58.4661,-1.0,0.001,-1.0,-1.0
55.615013,-1.0,0.001,-1.0,-1.0
53.057556,-1.0,0.001,-1.0,-1.0
51.52116,-1.0,0.001,-1.0,-1.0
48.91673,-1.0,0.001,-1.0,-1.0
43.98892,-1.0,0.001,-1.0,-1.0
43.93626,-1.0,0.001,-1.0,-1.0
40.45554,-1.0,0.001,-1.0,-1.0
39.005,-1.0,0.001,-1.0,-1.0
40.258995,-1.0,0.001,-1.0,-1.0
36.546234,-1.0,0.001,-1.0,-1.0
40.554134,-1.0,0.001,-1.0,-1.0
35.2778,-1.0,0.001,-1.0,-1.0
33.258495,-1.0,0.001,-1.0,-1.0
35.085075,-1.0,0.001,-1.0,-1.0
33.26311,-1.0,0.001,-1.0,-1.0
33.134945,-1.0,0.001,-1.0,-1.0
31.149221,-1.0,0.001,-1.0,-1.0
30.322979,-1.0,0.001,-1.0,-1.0
39.371082,-1.0,0.001,-1.0,-1.0
32.42619,-1.0,0.001,-1.0,-1.0
28.729578,-1.0,0.001,-1.0,-1.0
31.467701,-1.0,0.001,-1.0,-1.0
30.78228,-1.0,0.001,-1.0,-1.0
28.42427,-1.0,0.001,-1.0,-1.0
28.899183,-1.0,0.001,-1.0,-1.0
24.811321,-1.0,0.001,-1.0,-1.0
25.357824,-1.0,0.001,-1.0,-1.0
23.552168,-1.0,0.001,-1.0,-1.0
29.343737,-1.0,0.001,-1.0,-1.0
27.3226,-1.0,0.001,-1.0,-1.0
25.892757,-1.0,0.001,-1.0,-1.0
25.333593,-1.0,0.001,-1.0,-1.0
21.068336,-1.0,0.001,-1.0,-1.0
24.009666,-1.0,0.001,-1.0,-1.0
25.371075,-1.0,0.001,-1.0,-1.0
20.373482,-1.0,0.001,-1.0,-1.0
20.944572,-1.0,0.001,-1.0,-1.0
22.659384,-1.0,0.001,-1.0,-1.0
20.64459,-1.0,0.001,-1.0,-1.0
20.61509,-1.0,0.001,-1.0,-1.0
21.296629,-1.0,0.001,-1.0,-1.0
21.139389,-1.0,0.001,-1.0,-1.0
20.364212,-1.0,0.001,-1.0,-1.0
22.66255,-1.0,0.001,-1.0,-1.0
18.12074,-1.0,0.001,-1.0,-1.0
20.518635,-1.0,0.001,-1.0,-1.0
18.808392,-1.0,0.001,-1.0,-1.0
20.081682,-1.0,0.001,-1.0,-1.0
23.719566,-1.0,0.001,-1.0,-1.0
18.959034,-1.0,0.001,-1.0,-1.0
19.345188,-1.0,0.001,-1.0,-1.0
17.064074,-1.0,0.001,-1.0,-1.0
19.69804,-1.0,0.001,-1.0,-1.0
18.693237,-1.0,0.001,-1.0,-1.0
17.80761,-1.0,0.001,-1.0,-1.0
20.048506,-1.0,0.001,-1.0,-1.0
17.612915,-1.0,0.001,-1.0,-1.0
16.645382,-1.0,0.001,-1.0,-1.0
20.301056,-1.0,0.001,-1.0,-1.0
18.266905,-1.0,0.001,-1.0,-1.0
22.963253,-1.0,0.001,-1.0,-1.0
16.826088,-1.0,0.001,-1.0,-1.0
16.273336,-1.0,0.001,-1.0,-1.0
14.82087,-1.0,0.001,-1.0,-1.0
14.701038,-1.0,0.001,-1.0,-1.0
17.555023,-1.0,0.001,-1.0,-1.0
15.130029,-1.0,0.001,-1.0,-1.0
13.955636,-1.0,0.001,-1.0,-1.0
14.7173605,-1.0,0.001,-1.0,-1.0
16.181728,-1.0,0.001,-1.0,-1.0
14.503953,-1.0,0.001,-1.0,-1.0
14.493964,-1.0,0.001,-1.0,-1.0
15.269955,-1.0,0.001,-1.0,-1.0
18.917158,-1.0,0.001,-1.0,-1.0
18.8717,-1.0,0.001,-1.0,-1.0
13.981736,-1.0,0.001,-1.0,-1.0
17.77139,-1.0,0.001,-1.0,-1.0
18.465818,-1.0,0.001,-1.0,-1.0
14.877573,-1.0,0.001,-1.0,-1.0
16.57202,-1.0,0.001,-1.0,-1.0
13.481822,-1.0,0.001,-1.0,-1.0
12.27286,-1.0,0.001,-1.0,-1.0
13.056645,-1.0,0.001,-1.0,-1.0
12.620908,-1.0,0.001,-1.0,-1.0
14.232447,-1.0,0.001,-1.0,-1.0
13.422819,-1.0,0.001,-1.0,-1.0
12.779181,-1.0,0.001,-1.0,-1.0
16.988264,-1.0,0.001,-1.0,-1.0
13.323281,-1.0,0.001,-1.0,-1.0
11.977756,-1.0,0.001,-1.0,-1.0
12.710275,-1.0,0.001,-1.0,-1.0
12.509537,-1.0,0.001,-1.0,-1.0
17.42946,-1.0,0.001,-1.0,-1.0
13.283529,-1.0,0.001,-1.0,-1.0
13.222196,-1.0,0.001,-1.0,-1.0
13.979055,-1.0,0.001,-1.0,-1.0
14.080133,-1.0,0.001,-1.0,-1.0
13.243772,-1.0,0.001,-1.0,-1.0
13.308877,-1.0,0.001,-1.0,-1.0
12.977931,-1.0,0.001,-1.0,-1.0
11.171466,-1.0,0.001,-1.0,-1.0
13.93055,-1.0,0.001,-1.0,-1.0
12.218137,-1.0,0.001,-1.0,-1.0
13.784043,-1.0,0.001,-1.0,-1.0
13.857246,-1.0,0.001,-1.0,-1.0
