,train_loss,val_loss,lr,mask_val_loss,regr_val_loss
0,595.4986,-1.0,0.001,-1.0,-1.0
1,681.8323,-1.0,0.001,-1.0,-1.0
2,485.40445,-1.0,0.001,-1.0,-1.0
3,414.36313,-1.0,0.001,-1.0,-1.0
4,337.82108,-1.0,0.001,-1.0,-1.0
5,290.46628,-1.0,0.001,-1.0,-1.0
6,261.89273,-1.0,0.001,-1.0,-1.0
7,206.01094,-1.0,0.001,-1.0,-1.0
8,209.50348,-1.0,0.001,-1.0,-1.0
9,178.78162,-1.0,0.001,-1.0,-1.0
10,144.42183,-1.0,0.001,-1.0,-1.0
11,137.16248,-1.0,0.001,-1.0,-1.0
12,126.68773,-1.0,0.001,-1.0,-1.0
13,112.149925,-1.0,0.001,-1.0,-1.0
14,98.24,-1.0,0.001,-1.0,-1.0
15,91.48167,-1.0,0.001,-1.0,-1.0
16,85.495834,-1.0,0.001,-1.0,-1.0
17,75.76103,-1.0,0.001,-1.0,-1.0
18,70.77243,-1.0,0.001,-1.0,-1.0
19,63.332054,-1.0,0.001,-1.0,-1.0
20,62.782196,-1.0,0.001,-1.0,-1.0
21,58.221603,-1.0,0.001,-1.0,-1.0
22,53.93417,-1.0,0.001,-1.0,-1.0
23,47.36061,-1.0,0.001,-1.0,-1.0
24,44.35499,-1.0,0.001,-1.0,-1.0
25,42.31067,-1.0,0.001,-1.0,-1.0
26,44.98455,-1.0,0.001,-1.0,-1.0
27,40.998573,-1.0,0.001,-1.0,-1.0
28,37.34632,-1.0,0.001,-1.0,-1.0
29,37.802803,-1.0,0.001,-1.0,-1.0
30,35.383415,-1.0,0.001,-1.0,-1.0
31,35.052116,-1.0,0.001,-1.0,-1.0
32,31.081211,-1.0,0.001,-1.0,-1.0
33,28.480528,-1.0,0.001,-1.0,-1.0
34,27.964087,-1.0,0.001,-1.0,-1.0
35,27.316998,-1.0,0.001,-1.0,-1.0
36,27.724936,-1.0,0.001,-1.0,-1.0
37,27.987522,-1.0,0.001,-1.0,-1.0
38,25.668793,-1.0,0.001,-1.0,-1.0
39,23.861809,-1.0,0.001,-1.0,-1.0
40,23.005198,-1.0,0.001,-1.0,-1.0
41,24.72574,-1.0,0.001,-1.0,-1.0
42,24.013212,-1.0,0.001,-1.0,-1.0
43,22.518822,-1.0,0.001,-1.0,-1.0
44,20.573769,-1.0,0.001,-1.0,-1.0
45,23.34858,-1.0,0.001,-1.0,-1.0
46,22.59195,-1.0,0.001,-1.0,-1.0
47,19.985437,-1.0,0.001,-1.0,-1.0
48,19.95514,-1.0,0.001,-1.0,-1.0
49,30.422184,-1.0,0.001,-1.0,-1.0
50,20.874697,-1.0,0.001,-1.0,-1.0
51,20.628721,-1.0,0.001,-1.0,-1.0
52,20.08794,-1.0,0.001,-1.0,-1.0
53,21.453482,-1.0,0.001,-1.0,-1.0
54,19.45443,-1.0,0.001,-1.0,-1.0
55,19.34549,-1.0,0.001,-1.0,-1.0
56,19.736542,-1.0,0.001,-1.0,-1.0
57,21.125141,-1.0,0.001,-1.0,-1.0
58,18.673958,-1.0,0.001,-1.0,-1.0
59,19.700941,-1.0,0.001,-1.0,-1.0
60,19.496542,-1.0,0.001,-1.0,-1.0
61,17.713514,-1.0,0.001,-1.0,-1.0
62,17.590042,-1.0,0.001,-1.0,-1.0
63,16.473232,-1.0,0.001,-1.0,-1.0
64,16.136557,-1.0,0.001,-1.0,-1.0
65,16.31511,-1.0,0.001,-1.0,-1.0
66,16.491606,-1.0,0.001,-1.0,-1.0
67,13.795483,-1.0,0.001,-1.0,-1.0
68,13.102364,-1.0,0.001,-1.0,-1.0
69,19.540638,-1.0,0.001,-1.0,-1.0
70,15.089752,-1.0,0.001,-1.0,-1.0
71,14.984917,-1.0,0.001,-1.0,-1.0
72,13.855449,-1.0,0.001,-1.0,-1.0
73,14.48965,-1.0,0.001,-1.0,-1.0
74,15.136758,-1.0,0.001,-1.0,-1.0
75,13.384868,-1.0,0.001,-1.0,-1.0
76,15.331762,-1.0,0.001,-1.0,-1.0
77,14.521267,-1.0,0.001,-1.0,-1.0
78,14.053827,-1.0,0.001,-1.0,-1.0
79,14.423117,-1.0,0.001,-1.0,-1.0
80,12.270638,-1.0,0.001,-1.0,-1.0
81,12.40208,-1.0,0.001,-1.0,-1.0
82,12.956205,-1.0,0.001,-1.0,-1.0
83,11.387533,-1.0,0.001,-1.0,-1.0
84,15.084108,-1.0,0.001,-1.0,-1.0
85,12.45064,-1.0,0.001,-1.0,-1.0
86,12.915959,-1.0,0.001,-1.0,-1.0
87,13.641917,-1.0,0.001,-1.0,-1.0
88,12.829263,-1.0,0.001,-1.0,-1.0
89,10.607959,-1.0,0.001,-1.0,-1.0
90,11.723643,-1.0,0.001,-1.0,-1.0
91,13.031636,-1.0,0.001,-1.0,-1.0
92,11.734485,-1.0,0.001,-1.0,-1.0
93,13.736982,-1.0,0.001,-1.0,-1.0
94,15.770774,-1.0,0.001,-1.0,-1.0
95,13.814628,-1.0,0.001,-1.0,-1.0
96,13.391165,-1.0,0.001,-1.0,-1.0
97,10.163166,-1.0,0.001,-1.0,-1.0
98,11.568955,-1.0,0.001,-1.0,-1.0
99,9.686272,-1.0,0.001,-1.0,-1.0
100,10.603207,-1.0,0.001,-1.0,-1.0
101,10.4703665,-1.0,0.001,-1.0,-1.0
102,11.146484,-1.0,0.001,-1.0,-1.0
103,11.745321,-1.0,0.001,-1.0,-1.0
104,11.481484,-1.0,0.001,-1.0,-1.0
105,9.741978,-1.0,0.001,-1.0,-1.0
106,11.842346,-1.0,0.001,-1.0,-1.0
107,11.157967,-1.0,0.001,-1.0,-1.0
108,12.556866,-1.0,0.001,-1.0,-1.0
109,11.22019,-1.0,0.001,-1.0,-1.0
110,10.936239,-1.0,0.001,-1.0,-1.0
111,11.437322,-1.0,0.001,-1.0,-1.0
112,10.334767,-1.0,0.001,-1.0,-1.0
113,14.4811535,-1.0,0.001,-1.0,-1.0
114,11.96326,-1.0,0.001,-1.0,-1.0
115,10.520827,-1.0,0.001,-1.0,-1.0
116,10.511339,-1.0,0.001,-1.0,-1.0
117,10.243228,-1.0,0.001,-1.0,-1.0
118,8.380114,-1.0,0.001,-1.0,-1.0
119,10.147239,-1.0,0.001,-1.0,-1.0
120,10.121059,-1.0,0.001,-1.0,-1.0
121,10.514903,-1.0,0.001,-1.0,-1.0
122,9.729748,-1.0,0.001,-1.0,-1.0
123,10.656232,-1.0,0.001,-1.0,-1.0
124,9.001221,-1.0,0.001,-1.0,-1.0
125,7.906778,-1.0,0.001,-1.0,-1.0
126,9.212082,-1.0,0.001,-1.0,-1.0
127,9.8991375,-1.0,0.001,-1.0,-1.0
128,8.892929,-1.0,0.001,-1.0,-1.0
129,10.156193,-1.0,0.001,-1.0,-1.0
130,9.986883,-1.0,0.001,-1.0,-1.0
131,7.9190784,-1.0,0.001,-1.0,-1.0
132,9.77619,-1.0,0.001,-1.0,-1.0
133,10.499656,-1.0,0.001,-1.0,-1.0
134,9.492299,-1.0,0.001,-1.0,-1.0
135,8.274409,-1.0,0.001,-1.0,-1.0
136,9.599279,-1.0,0.001,-1.0,-1.0
137,11.3579,-1.0,0.001,-1.0,-1.0
138,8.2850485,-1.0,0.001,-1.0,-1.0
139,9.325394,-1.0,0.001,-1.0,-1.0
140,8.198391,-1.0,0.001,-1.0,-1.0
141,11.656838,-1.0,0.001,-1.0,-1.0
142,8.832277,-1.0,0.001,-1.0,-1.0
143,9.237752,-1.0,0.001,-1.0,-1.0
