train_loss,val_loss,lr,mask_val_loss,regr_val_loss
595.4986,-1.0,0.001,-1.0,-1.0
681.8323,-1.0,0.001,-1.0,-1.0
485.40445,-1.0,0.001,-1.0,-1.0
414.36313,-1.0,0.001,-1.0,-1.0
337.82108,-1.0,0.001,-1.0,-1.0
290.46628,-1.0,0.001,-1.0,-1.0
261.89273,-1.0,0.001,-1.0,-1.0
206.01094,-1.0,0.001,-1.0,-1.0
209.50348,-1.0,0.001,-1.0,-1.0
178.78162,-1.0,0.001,-1.0,-1.0
144.42183,-1.0,0.001,-1.0,-1.0
137.16248,-1.0,0.001,-1.0,-1.0
126.68773,-1.0,0.001,-1.0,-1.0
112.149925,-1.0,0.001,-1.0,-1.0
98.24,-1.0,0.001,-1.0,-1.0
91.48167,-1.0,0.001,-1.0,-1.0
85.495834,-1.0,0.001,-1.0,-1.0
75.76103,-1.0,0.001,-1.0,-1.0
70.77243,-1.0,0.001,-1.0,-1.0
63.332054,-1.0,0.001,-1.0,-1.0
62.782196,-1.0,0.001,-1.0,-1.0
58.221603,-1.0,0.001,-1.0,-1.0
53.93417,-1.0,0.001,-1.0,-1.0
47.36061,-1.0,0.001,-1.0,-1.0
44.35499,-1.0,0.001,-1.0,-1.0
42.31067,-1.0,0.001,-1.0,-1.0
44.98455,-1.0,0.001,-1.0,-1.0
40.998573,-1.0,0.001,-1.0,-1.0
37.34632,-1.0,0.001,-1.0,-1.0
37.802803,-1.0,0.001,-1.0,-1.0
35.383415,-1.0,0.001,-1.0,-1.0
35.052116,-1.0,0.001,-1.0,-1.0
31.081211,-1.0,0.001,-1.0,-1.0
28.480528,-1.0,0.001,-1.0,-1.0
27.964087,-1.0,0.001,-1.0,-1.0
27.316998,-1.0,0.001,-1.0,-1.0
27.724936,-1.0,0.001,-1.0,-1.0
27.987522,-1.0,0.001,-1.0,-1.0
25.668793,-1.0,0.001,-1.0,-1.0
23.861809,-1.0,0.001,-1.0,-1.0
23.005198,-1.0,0.001,-1.0,-1.0
24.72574,-1.0,0.001,-1.0,-1.0
24.013212,-1.0,0.001,-1.0,-1.0
22.518822,-1.0,0.001,-1.0,-1.0
20.573769,-1.0,0.001,-1.0,-1.0
23.34858,-1.0,0.001,-1.0,-1.0
22.59195,-1.0,0.001,-1.0,-1.0
19.985437,-1.0,0.001,-1.0,-1.0
19.95514,-1.0,0.001,-1.0,-1.0
30.422184,-1.0,0.001,-1.0,-1.0
20.874697,-1.0,0.001,-1.0,-1.0
20.628721,-1.0,0.001,-1.0,-1.0
20.08794,-1.0,0.001,-1.0,-1.0
21.453482,-1.0,0.001,-1.0,-1.0
19.45443,-1.0,0.001,-1.0,-1.0
19.34549,-1.0,0.001,-1.0,-1.0
19.736542,-1.0,0.001,-1.0,-1.0
21.125141,-1.0,0.001,-1.0,-1.0
18.673958,-1.0,0.001,-1.0,-1.0
19.700941,-1.0,0.001,-1.0,-1.0
19.496542,-1.0,0.001,-1.0,-1.0
17.713514,-1.0,0.001,-1.0,-1.0
17.590042,-1.0,0.001,-1.0,-1.0
16.473232,-1.0,0.001,-1.0,-1.0
16.136557,-1.0,0.001,-1.0,-1.0
16.31511,-1.0,0.001,-1.0,-1.0
16.491606,-1.0,0.001,-1.0,-1.0
13.795483,-1.0,0.001,-1.0,-1.0
13.102364,-1.0,0.001,-1.0,-1.0
19.540638,-1.0,0.001,-1.0,-1.0
15.089752,-1.0,0.001,-1.0,-1.0
14.984917,-1.0,0.001,-1.0,-1.0
13.855449,-1.0,0.001,-1.0,-1.0
14.48965,-1.0,0.001,-1.0,-1.0
15.136758,-1.0,0.001,-1.0,-1.0
13.384868,-1.0,0.001,-1.0,-1.0
15.331762,-1.0,0.001,-1.0,-1.0
14.521267,-1.0,0.001,-1.0,-1.0
14.053827,-1.0,0.001,-1.0,-1.0
14.423117,-1.0,0.001,-1.0,-1.0
12.270638,-1.0,0.001,-1.0,-1.0
12.40208,-1.0,0.001,-1.0,-1.0
12.956205,-1.0,0.001,-1.0,-1.0
11.387533,-1.0,0.001,-1.0,-1.0
15.084108,-1.0,0.001,-1.0,-1.0
12.45064,-1.0,0.001,-1.0,-1.0
12.915959,-1.0,0.001,-1.0,-1.0
13.641917,-1.0,0.001,-1.0,-1.0
12.829263,-1.0,0.001,-1.0,-1.0
10.607959,-1.0,0.001,-1.0,-1.0
11.723643,-1.0,0.001,-1.0,-1.0
13.031636,-1.0,0.001,-1.0,-1.0
11.734485,-1.0,0.001,-1.0,-1.0
13.736982,-1.0,0.001,-1.0,-1.0
