ImageId,PredictionString
ID_18fb86d04,0.14483084 -0.002815917330829657 -3.0958992821448525 -23.67103435360219 13.976576487219695 87.87278532981873 0.37032059369195675 0.13818413 3.1302770358066883 -3.121235318603464 -10.947980199761936 8.077673450318215 50.303781032562256 0.2387204781257623 0.14716434 0.011656357696503111 -3.102147964882203 -2.6615402656404292 20.260224173266554 127.18000411987305 0.25157174460277065 0.16078293 0.03312033010445567 -3.0953252037339887 0.4802163694899703 11.427663112828357 66.5961742401123 0.19575754967769554 0.15334174 0.0348435474182919 -3.0966968928747853 -1.1166645293960376 8.492492422666176 45.23417949676514 0.46291741772167544 0.15106222 0.01708172323888521 -3.0963445660942277 -1.089007621427512 4.135817749927454 17.035600543022156 0.46087664493374336
ID_ce06d4dc1,0.13200809 -0.015095318021069806 -3.092197736846753 -33.12546018076825 8.42026004159789 61.72562837600708 0.29435722172468337 0.14154088 0.02032377522930791 -3.089609610038348 -41.26304343295108 12.91000396054402 94.55739855766296 0.2871768270985993 0.14355876 -0.028939508217122194 -3.103747500228234 -26.27341752411014 5.705661065956894 39.36765193939209 0.245828687992391 0.15998684 0.03822859310470926 -3.097282877313443 -22.249190355657365 5.0436318082803595 32.825493812561035 0.21739950057717614 0.15286878 0.029241484547348023 -3.0960689467662057 -21.645227837026738 15.513955182784155 99.01211857795715 0.3147353529414104 0.15314439 0.035816535161301906 -3.092550156759568 -17.33298589350684 19.216596916523812 120.90661525726318 0.3081776061787409 0.15161161 0.008642800035221202 -3.104666231321641 -9.66883251662222 5.364279401011326 29.16043996810913 0.4810418836803689 0.14766507 0.0211080335088712 -3.105275051789828 -8.224789312888996 2.886641435364654 11.397948116064072 0.2530917313188515
ID_afe07078f,0.15319926 0.04534490177972539 -3.096830317872115 -9.39317224888175 13.75616761272854 102.8562068939209 0.3919775469404417 0.11679936 -3.0934263733059963 -3.1222602521353444 -13.65420274872644 5.228659353073893 36.289143562316895 0.2109970598880851 0.15098892 3.133803615812449 -3.1273139399760446 -15.949967908776681 8.814172896901697 58.75689387321472 0.21391799333556552 0.15561868 -3.1008245109929824 -3.1317500827186784 -15.707493466809854 6.58942977756963 42.39186644554138 0.40123451505106306 0.151273 0.10054332048673434 -3.1007641052180013 4.756115113316252 13.289875554480648 85.10823249816895 0.2688969433877687 0.15667926 0.04757025179171157 -3.0933065657788 6.940061250513612 10.484891905713825 66.5185809135437 0.4219176254981931 0.1410764 -0.020436491855329246 -3.101968540000268 7.746290578086196 9.875634678160893 62.20064163208008 0.23174103860087178 0.1488848 -3.125897198944335 -3.1407132541113576 -12.632424697787663 3.8279679800969184 23.195302486419678 0.5256875280492844 0.15801865 0.04994265615655182 -3.0895937142246446 7.704276427832483 7.601382005349017 43.4840202331543 0.5183576162999913 0.16901067 0.07317411222358548 -3.087318966286727 9.066781106750101 7.046762011118989 38.760942220687866 0.20557886081001514 0.16003565 0.0540097890490038 -3.0917201062017163 10.662655840313796 7.867585057063367 43.05182695388794 0.38910434652973114 0.15900093 0.024027669329119258 -3.089395711319991 9.51279526357683 5.968715475673662 31.120336055755615 0.5077951315008109 0.16002592 0.06704775770286667 -3.086994571732827 10.27626131941258 5.617310961906115 26.42623484134674 0.25770016995059014 0.1443255 0.019490801339950112 -3.094751490401574 9.283637794781612 5.07293556045074 23.748278617858887 0.35420998172285667 0.15333806 0.02849366823714684 -3.0912733284109315 12.70525294393938 5.545944176760177 22.842207551002502 0.3772941853770869 0.14710417 0.005273136414567992 -3.10172667180235 -4.471268571096051 2.506676069854479 8.965738862752914 0.2707480865197559
ID_37caf75aa,0.14108256 0.033404393671089466 -3.088604623573371 -25.91615820223141 6.116825323190781 39.954355359077454 0.22076185848432547 0.13905375 -0.02678129349532723 -3.095276693003722 -29.25285772245483 7.2780087110194644 46.48694694042206 0.3356466788111703 0.14422698 -0.00832366559155749 -3.095259381579705 -37.75916630493943 11.284615323200713 71.4295506477356 0.44526427714874867 0.1420649 0.004206517570041634 -3.088761480646678 -36.90344290810668 12.509486239948165 78.28278541564941 0.5013280974600112 0.13762552 0.010335995178855875 -3.092511011409112 -34.50661602466367 14.087037578431008 89.77618217468262 0.38775448414941927 0.14782888 0.015705639418724125 -3.0939439107948026 -27.160147185323797 11.805235165307296 69.07765865325928 0.4029949753224303 0.15428877 0.009011762699166344 -3.0973981526964387 -29.800821409802086 14.493678949769176 84.97222065925598 0.20760707472045858 0.14771184 -0.013179848518263476 -3.1028164607756814 -17.13318430323465 11.11806167682731 65.52286148071289 0.36031519710772225 0.14969131 0.09434563705609024 -3.0968823229246816 -16.824578800431713 12.765271535030923 76.27954483032227 0.39475332364278204 0.15269946 0.025616950812791677 -3.095617329823323 -17.74494582309598 13.899190297237954 83.83120894432068 0.40919545993762907 0.148766 0.025982818898212863 -3.0963452105694493 -17.579627395989878 7.075806819507224 39.74223732948303 0.30617460659159146 0.14861111 -0.007326261641706943 -3.0978055280917367 -14.418435623324955 7.8811180435332355 44.4458544254303 0.47933486764991 0.15824567 0.035770927734054006 -3.10298906465108 -11.166770882441114 11.92842235137402 66.46305918693542 0.3526959375509397 0.15644124 0.022607817602620196 -3.101627057539769 -11.863940068553232 15.825142807095624 92.00441241264343 0.37880423314207395 0.15259519 -0.006018712018879086 -3.105638725804635 -5.445007505899789 12.208267619721017 69.57523822784424 0.4709295086239312 0.1533458 0.1677295607541176 -3.1020804067426404 7.026864696699511 20.738176517897454 118.58022212982178 0.20817392191691156 0.15019864 0.006095454446931632 -3.0963418429070195 -7.0877024474686765 4.136565566062761 19.359812140464783 0.48343022944213265 0.15591535 -0.0025060162790821305 -3.085236059623309 7.244021785175253 4.20376362131432 11.128412932157516 0.250292956995757 0.15129767 -0.06681368634633014 -3.088212104635783 5.999443146470142 3.3642170529324953 8.89609381556511 0.23388164026692693
ID_7655363ca,0.14113927 3.084675507148525 -3.109043492125817 -28.583220527473383 16.07316120977126 105.44652938842773 0.2501836425995 0.14021882 3.1315916276015674 -3.1308082306110343 -24.511507043714214 9.888181945447947 57.930946350097656 0.3995280690514306 0.1500639 -3.0947704024519007 -3.134232774498411 -21.84998091882682 7.877619272014247 44.22130584716797 0.530397315175181 0.15834808 -3.1206581717742488 -3.1382963081174573 -25.795671234006573 10.71246668906606 60.71743965148926 0.2584404514160389 0.13191065 1.6209191994674028 -3.1080171075933656 19.94640649312569 6.149844080237713 28.40375304222107 0.40213104418403806 0.13840508 1.9522761077275246 -3.1058919002586087 8.180062441017915 4.950523738357114 20.152966678142548 0.4025358689463543
ID_ecb7edbb8,0.1379122 -1.217811154935403 -3.101830484467097 -3.453688210682997 2.1822391200437714 34.07493233680725 0.26740753288654306 0.16082698 0.04517585145422813 -3.093963837372609 10.055527438415876 6.984000669240366 35.713571310043335 0.4382650600898932 0.14200245 -0.25689829348940374 -3.100808089720555 0.7377767095982326 4.849614803864781 23.78763109445572 0.38934898587231614 0.14497818 0.043127630041200515 -3.0958481674366674 8.849663239426473 5.485390236798922 26.955023407936096 0.35030119209028127 0.16231588 -0.01756313232203262 -3.0835457389527043 9.701398384940362 6.529964721616564 30.46700656414032 0.22693564400630872
ID_e3b680bf6,0.1644537 0.06837178990463136 -3.0848577116900167 -6.6868058535779396 15.462758719690141 89.65259194374084 0.1864908592310375 0.1398664 0.01854915165669778 -3.0958746169977864 -0.8885535258470666 13.829938913533313 80.20262718200684 0.26670456471138826 0.15347883 0.004948240535145585 -3.100501524406024 -5.05708992963113 10.58027121951648 56.088244915008545 0.5054213628619887 0.16247398 0.0693799766451808 -3.0890711193257054 -2.1986443252946497 13.557868670059692 74.65134263038635 0.32603383479102543 0.15486401 -0.018020595421686107 -3.0972139743440827 0.3203836422742713 12.348201607967102 65.83239436149597 0.39612999413214767 0.15570994 -0.006170223043493762 -3.106460506218024 8.132541871143971 13.793923924971985 74.39054250717163 0.49568007245811607 0.15340032 0.013008799658603735 -3.0960505214803895 -0.3644772519704061 8.75498538185536 43.68010759353638 0.5034682505041145 0.15030336 0.02100685357909108 -3.0996458028727254 7.764247641173243 9.219684908328784 47.789791226387024 0.29030180547852685 0.13299635 -0.011198074528312096 -3.1007704717391213 9.083647117224572 8.625989269658993 43.05838346481323 0.2314145233040818 0.16053273 -0.02439292746274185 -3.0992780608409127 11.039303888906863 10.760164853006113 51.53614282608032 0.33620125725667954 0.14674069 0.008862574093383655 -3.0951643270724496 -3.495593056406579 3.3707408111778876 12.780454754829407 0.43690703075585896
ID_c51c8de2b,0.12589031 1.8640972277266472 -3.114923583465167 18.66588605407486 9.712392195356012 56.072890758514404 0.18855621364127356 0.13925351 1.581096364334318 -3.125284720333763 31.543227646287686 8.614833081269742 49.985626339912415 0.1842699034195186 0.14752468 3.002225996536758 -3.1174230763041457 -1.9967510485984796 8.720909278196187 47.90489971637726 0.3437508349327161 0.1539899 2.2497475287244773 -3.120244002091237 15.353520614250598 10.658470610496382 57.28276968002319 0.4146747646626808 0.15584892 1.7328047099618196 -3.116770250844308 20.653012523971356 11.849075158132901 62.29521036148071 0.386554642759402 0.1525548 2.0550397165459193 -3.119431799399205 19.95582729394903 9.035855243144763 49.076417088508606 0.4720986454823721 0.15207304 1.927299376924164 -3.121118651824542 23.095929420609043 9.250269188773752 50.618934631347656 0.35305284613495547 0.15261653 2.6371263898142048 -3.117962058755108 2.0932678137820386 9.238462632203781 48.170921206474304 0.36618179905418624 0.13949396 -0.022767427532753636 -3.1027090196781835 4.176978986073898 5.823678003423985 30.465590953826904 0.21783034987801295 0.15467715 2.144656604973026 -3.1156226602667054 22.37356043652271 8.221605131564868 42.596617341041565 0.3022468268184911 0.15916581 0.03569366150871492 -3.0943330769711217 4.261125967568805 6.719996250089465 33.352893590927124 0.39705246359397406 0.15755947 0.0028143096405518963 -3.0960984622412404 0.45779587876870687 4.899484165475382 21.274718642234802 0.42510922153588715
ID_bbe2505b7,0.1492533 2.1337272498982927 -3.113625919567891 -2.4123781187799107 7.076672793498713 36.14242970943451 0.3796022474915056 0.1452637 3.0245619682025944 -3.1261749175661286 -5.60223736305101 4.745094571940852 23.366208374500275 0.3897951878838801 0.1365091 2.4319021985917875 -3.123465599613734 -4.714076062677761 4.395108828219956 21.560148894786835 0.22569643747798152 0.16334611 2.4759044990697108 -3.1201572996848306 0.4333041186122184 8.906554464692316 43.69378089904785 0.42923516124727473 0.15583235 2.8389763090268736 -3.1212298927181443 2.806712906139906 7.745082911578632 38.389039039611816 0.38998457561939964 0.15464269 2.239178579513281 -3.122637791680642 9.954347592873884 9.4836630443597 46.15611433982849 0.30555192928143826 0.15061553 2.0913751554864533 -3.118859650688716 11.447346193104552 10.76686147720561 51.768893003463745 0.37077200601979066 0.14229244 2.1479415604784644 -3.1191756335371217 16.405383268146096 10.169801689647684 48.63107204437256 0.23543545188739143 0.14763558 2.255184610401538 -3.1198597644739827 18.07241554252687 10.728673706201276 51.15605592727661 0.45374053504615725 0.15777746 2.5311685683006426 -3.12478704017634 38.50947123931803 15.12836388130039 72.62347340583801 0.30054850066977185 0.13967407 2.385256784354171 -3.126534728454896 40.62575900194127 15.245488324034323 73.73867630958557 0.3186615543706689 0.14986669 2.3557501565122507 -3.125512985634156 50.75284244165678 17.43025672587702 84.53831076622009 0.251967474642279 0.14620091 2.5526730599051843 -3.136307120444723 53.3475403371947 18.08395810772426 86.53711080551147 0.19951782406048615
ID_b2f337d86,0.14807975 2.6456264827799854 -3.119489835696765 -22.365105597655372 9.61557065016692 50.81998109817505 0.26853334822089386 0.14153922 2.530147519272636 -3.1183623505109033 -19.51748822614984 8.461718231658729 46.21233940124512 0.2800964680084768 0.13667203 2.8108825190542075 -3.1197050121896943 -28.404354210007586 8.01678370892943 40.982577204704285 0.31239209233086823 0.15313606 -3.0667473319393714 -3.125838393467017 -25.994292125843202 8.948558270821978 46.01759314537048 0.25599651567242465 0.15641466 0.0048845884293242225 -3.101260284083434 -4.202479639133391 12.590107768664767 58.24211835861206 0.48561496002476756 0.155811 0.0027018125052051794 -3.0997542833262166 5.013101464023542 9.979784018470975 44.64523196220398 0.45568190015792354 0.1551819 -0.03416737919980395 -3.102388283359357 8.286724213141355 9.293043936882052 40.3011679649353 0.33641442226173773 0.16099748 0.04254129728511947 -3.09145179589326 12.421662668383483 10.482051831642586 43.72386932373047 0.51189185097399 0.14921597 0.029266133726181916 -3.09595092211897 -3.260811012553842 4.718032106785145 19.616472721099854 0.4496642744738765 0.1615277 0.03581034954871827 -3.0911422950499734 13.691688676370969 9.899777970697896 40.55968523025513 0.5142119840345931 0.14748839 0.03868781638812943 -3.089811900752135 12.682393624852832 8.125593918991415 32.29935169219971 0.21872089049766244 0.16032381 0.060136106394654124 -3.089053029316016 9.670010690927466 7.047734969074767 25.71887969970703 0.42459878626594355 0.15496367 -0.010079895812693947 -3.0894841646128377 9.23110961699291 6.276574079636249 23.067094385623932 0.3360736629049684 0.16376188 -0.010320494774007346 -3.0869593193107328 12.698182438063355 6.796781991865152 24.780002236366272 0.22565063667979532 0.16349673 0.020869340002405316 -3.0901033041351518 12.594427992405752 5.627801086235648 18.596237897872925 0.34579565345591895
